2022/05/19 09:15:59 | Controller | main:1 | Creating new Controller
2022/05/19 09:16:00 | Dstore | main:1 | Setup complete, starting connections
2022/05/19 09:16:00 | Dstore.ControllerConnection | main:1 | Creating new thread: Dstore1234
2022/05/19 09:16:00 | Dstore.ControllerConnection | Dstore1234:14 | Thread started successfully
2022/05/19 09:16:00 | Dstore.ControllerConnection | main:1 | Sending message: JOIN 1234
2022/05/19 09:16:00 | Controller.DstoreCon | Dstore1234:16 | Thread started successfully
2022/05/19 09:16:00 | Controller | NewConnections:15 | Dstore connected. Port: 1234
2022/05/19 09:16:00 | Controller | Rebalance:17 | Rebalancing
2022/05/19 09:16:00 | Controller | Rebalance:17 | 1 out of 3 Dstores connected
2022/05/19 09:16:00 | Dstore | main:1 | Setup complete, starting connections
2022/05/19 09:16:00 | Dstore.ControllerConnection | main:1 | Creating new thread: Dstore1235
2022/05/19 09:16:00 | Dstore.ControllerConnection | Dstore1235:14 | Thread started successfully
2022/05/19 09:16:00 | Dstore.ControllerConnection | main:1 | Sending message: JOIN 1235
2022/05/19 09:16:00 | Controller | NewConnections:18 | Dstore connected. Port: 1235
2022/05/19 09:16:00 | Controller.DstoreCon | Dstore1235:19 | Thread started successfully
2022/05/19 09:16:00 | Controller | Rebalance:20 | Rebalancing
2022/05/19 09:16:00 | Controller | Rebalance:20 | 2 out of 3 Dstores connected
2022/05/19 09:16:01 | Dstore | main:1 | Setup complete, starting connections
2022/05/19 09:16:01 | Dstore.ControllerConnection | main:1 | Creating new thread: Dstore1236
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1236:14 | Thread started successfully
2022/05/19 09:16:01 | Dstore.ControllerConnection | main:1 | Sending message: JOIN 1236
2022/05/19 09:16:01 | Controller.DstoreCon | Dstore1236:22 | Thread started successfully
2022/05/19 09:16:01 | Controller | NewConnections:21 | Dstore connected. Port: 1236
2022/05/19 09:16:01 | Controller | Rebalance:23 | Rebalancing
2022/05/19 09:16:01 | Controller.DstoreCon | Rebalance:23 | Sending message: LIST
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:01 | Controller.DstoreCon | Rebalance:23 | Sending message: LIST
2022/05/19 09:16:01 | Controller.DstoreCon | Rebalance:23 | Sending message: LIST
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:01 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:01 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:01 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:01 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:01 | Controller | Rebalance:23 | Rebalance successful
2022/05/19 09:16:11 | Controller | Rebalance:32 | Rebalancing
2022/05/19 09:16:11 | Controller.DstoreCon | Rebalance:32 | Sending message: LIST
2022/05/19 09:16:11 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:11 | Controller.DstoreCon | Rebalance:32 | Sending message: LIST
2022/05/19 09:16:11 | Controller.DstoreCon | Rebalance:32 | Sending message: LIST
